Year,Date,CPI component,pct_change
1988,1988-04-01,"Glassware, tableware and household utensils",82.7
1988,1988-04-01,Tools and equipment for house and garden,69.7
1988,1988-04-01,Goods and services for routine maintenance,41.7
1988,1988-04-01,Medical products appliances and equipment,52.8
1988,1988-04-01,Out-patient services:,NA
1988,1988-04-01,Hospital services,NA
1988,1988-04-01,Purchase of vehicles,89.9
1988,1988-04-01,Operation of personal transport equipment,29.7
1988,1988-04-01,Transport services,22.6
1988,1988-04-01,Postal services,25.4
1988,1988-04-01,Audio-visual equipment and related products,747.4
1988,1988-04-01,Other major durables for recreation and culture,NA
1988,1988-04-01,Other recreational items and equipment gardens & pets,93.7
1988,1988-04-01,Recreational and cultural services,34.7
1988,1988-04-01,"Books, newspapers and stationery",38.1
1988,1988-04-01,Package holiday,NA
1988,1988-04-01,Cpi index 10.4 tertiary education,NA
1988,1988-04-01,Catering services,33.8
1988,1988-04-01,Accommodation services,NA
1988,1988-04-01,Personal care,51
1988,1988-04-01,Personal effects n.e.c.,67.9
1988,1988-04-01,Social protection,NA
1988,1988-04-01,Insurance,21.4
1988,1988-04-01,Financial services n.e.c.,95.6
1988,1988-04-01,Other services nec,30.8
1988,1988-05-01,Cpi index 00: all items,49.5
1988,1988-05-01,Food,49
1988,1988-05-01,Non-alcoholic beverages,47.2
1988,1988-05-01,Alcoholic beverages,55.9
1988,1988-05-01,Tobacco,16.6
1988,1988-05-01,Clothing,208
1988,1988-05-01,Footwear including repairs,156.7
1988,1988-05-01,Actual rents for housing,33
1988,1988-05-01,Regular maintenance and repair of the dwelling,40.3
1988,1988-05-01,Water supply and misc. services for the dwelling,23.2
1988,1988-05-01,"Electricity, gas and other fuels",30
1988,1988-05-01,"Furniture, furnishings and carpets",64.5
1988,1988-05-01,Household textiles,122.9
1988,1988-05-01,"Household appliances, fitting and repairs",110
1988,1988-05-01,"Glassware, tableware and household utensils",83.2
1988,1988-05-01,Tools and equipment for house and garden,69.9
1988,1988-05-01,Goods and services for routine maintenance,41.8
1988,1988-05-01,Medical products appliances and equipment,53
1988,1988-05-01,Out-patient services:,NA
1988,1988-05-01,Hospital services,NA
1988,1988-05-01,Purchase of vehicles,90.4
1988,1988-05-01,Operation of personal transport equipment,29.7
1988,1988-05-01,Transport services,22.8
1988,1988-05-01,Postal services,25.4
1988,1988-05-01,Audio-visual equipment and related products,746.5
1988,1988-05-01,Other major durables for recreation and culture,NA
1988,1988-05-01,Other recreational items and equipment gardens & pets,94.3
1988,1988-05-01,Recreational and cultural services,34.8
1988,1988-05-01,"Books, newspapers and stationery",38.4
1988,1988-05-01,Package holiday,NA
1988,1988-05-01,Cpi index 10.4 tertiary education,NA
1988,1988-05-01,Catering services,33.9
1988,1988-05-01,Accommodation services,NA
1988,1988-05-01,Personal care,51.1
1988,1988-05-01,Personal effects n.e.c.,68
1988,1988-05-01,Social protection,NA
1988,1988-05-01,Insurance,21.5
1988,1988-05-01,Financial services n.e.c.,95.7
1988,1988-05-01,Other services nec,31.1
1988,1988-06-01,Cpi index 00: all items,49.7
1988,1988-06-01,Food,49
1988,1988-06-01,Non-alcoholic beverages,47.7
1988,1988-06-01,Alcoholic beverages,56
1988,1988-06-01,Tobacco,16.6
1988,1988-06-01,Clothing,208.9
1988,1988-06-01,Footwear including repairs,156.7
1988,1988-06-01,Actual rents for housing,33.1
1988,1988-06-01,Regular maintenance and repair of the dwelling,40.4
1988,1988-06-01,Water supply and misc. services for the dwelling,23.2
1988,1988-06-01,"Electricity, gas and other fuels",30.5
1988,1988-06-01,"Furniture, furnishings and carpets",64.6
1988,1988-06-01,Household textiles,123.1
1988,1988-06-01,"Household appliances, fitting and repairs",109.8
1988,1988-06-01,"Glassware, tableware and household utensils",83.2
1988,1988-06-01,Tools and equipment for house and garden,70.3
1988,1988-06-01,Goods and services for routine maintenance,42.1
1988,1988-06-01,Medical products appliances and equipment,53.1
1988,1988-06-01,Out-patient services:,NA
1988,1988-06-01,Hospital services,NA
1988,1988-06-01,Purchase of vehicles,91.4
1988,1988-06-01,Operation of personal transport equipment,29.9
1988,1988-06-01,Transport services,22.9
1988,1988-06-01,Postal services,25.4
1988,1988-06-01,Audio-visual equipment and related products,742.8
1988,1988-06-01,Other major durables for recreation and culture,NA
1988,1988-06-01,Other recreational items and equipment gardens & pets,94.5
1988,1988-06-01,Recreational and cultural services,34.8
1988,1988-06-01,"Books, newspapers and stationery",38.4
1988,1988-06-01,Package holiday,NA
1988,1988-06-01,Cpi index 10.4 tertiary education,NA
1988,1988-06-01,Catering services,34
1988,1988-06-01,Accommodation services,NA
1988,1988-06-01,Personal care,51.4
1988,1988-06-01,Personal effects n.e.c.,68.1
1988,1988-06-01,Social protection,NA
1988,1988-06-01,Insurance,21.5
1988,1988-06-01,Financial services n.e.c.,96.6
1988,1988-06-01,Other services nec,31.2
1988,1988-07-01,Cpi index 00: all items,49.7
1988,1988-07-01,Food,48.5
1988,1988-07-01,Non-alcoholic beverages,48.1
1988,1988-07-01,Alcoholic beverages,56
1988,1988-07-01,Tobacco,16.6
1988,1988-07-01,Clothing,204.4
1988,1988-07-01,Footwear including repairs,156.1
1988,1988-07-01,Actual rents for housing,33.2
1988,1988-07-01,Regular maintenance and repair of the dwelling,40.7
1988,1988-07-01,Water supply and misc. services for the dwelling,23.2
1988,1988-07-01,"Electricity, gas and other fuels",30.8
1988,1988-07-01,"Furniture, furnishings and carpets",64.2
1988,1988-07-01,Household textiles,121.8
1988,1988-07-01,"Household appliances, fitting and repairs",108.9
1988,1988-07-01,"Glassware, tableware and household utensils",83.6
1988,1988-07-01,Tools and equipment for house and garden,70.4
1988,1988-07-01,Goods and services for routine maintenance,42.8
1988,1988-07-01,Medical products appliances and equipment,53.3
1988,1988-07-01,Out-patient services:,NA
1988,1988-07-01,Hospital services,NA
1988,1988-07-01,Purchase of vehicles,92.2
1988,1988-07-01,Operation of personal transport equipment,30
1988,1988-07-01,Transport services,23
1988,1988-07-01,Postal services,25.4
1988,1988-07-01,Audio-visual equipment and related products,739.5
1988,1988-07-01,Other major durables for recreation and culture,NA
1988,1988-07-01,Other recreational items and equipment gardens & pets,95.1
1988,1988-07-01,Recreational and cultural services,34.7
1988,1988-07-01,"Books, newspapers and stationery",38.7
1988,1988-07-01,Package holiday,NA
1988,1988-07-01,Cpi index 10.4 tertiary education,NA
1988,1988-07-01,Catering services,34.1
1988,1988-07-01,Accommodation services,NA
1988,1988-07-01,Personal care,51.7
1988,1988-07-01,Personal effects n.e.c.,68.7
1988,1988-07-01,Social protection,NA
1988,1988-07-01,Insurance,22.5
1988,1988-07-01,Financial services n.e.c.,96.5
1988,1988-07-01,Other services nec,31.4
1988,1988-08-01,Cpi index 00: all items,49.9
1988,1988-08-01,Food,48.7
1988,1988-08-01,Non-alcoholic beverages,48.5
1988,1988-08-01,Alcoholic beverages,56.1
1988,1988-08-01,Tobacco,16.6
1988,1988-08-01,Clothing,204.3
1988,1988-08-01,Footwear including repairs,157.2
1988,1988-08-01,Actual rents for housing,33.2
1988,1988-08-01,Regular maintenance and repair of the dwelling,40.9
1988,1988-08-01,Water supply and misc. services for the dwelling,23.2
1988,1988-08-01,"Electricity, gas and other fuels",30.8
1988,1988-08-01,"Furniture, furnishings and carpets",64.4
1988,1988-08-01,Household textiles,122.1
1988,1988-08-01,"Household appliances, fitting and repairs",109.3
1988,1988-08-01,"Glassware, tableware and household utensils",84.2
1988,1988-08-01,Tools and equipment for house and garden,70.8
1988,1988-08-01,Goods and services for routine maintenance,43.1
1988,1988-08-01,Medical products appliances and equipment,53.6
1988,1988-08-01,Out-patient services:,NA
1988,1988-08-01,Hospital services,NA
1988,1988-08-01,Purchase of vehicles,92.9
1988,1988-08-01,Operation of personal transport equipment,30
1988,1988-08-01,Transport services,23.2
1988,1988-08-01,Postal services,25.4
1988,1988-08-01,Audio-visual equipment and related products,739.7
1988,1988-08-01,Other major durables for recreation and culture,NA
1988,1988-08-01,Other recreational items and equipment gardens & pets,95.4
1988,1988-08-01,Recreational and cultural services,34.8
1988,1988-08-01,"Books, newspapers and stationery",38.8
1988,1988-08-01,Package holiday,NA
1988,1988-08-01,Cpi index 10.4 tertiary education,NA
1988,1988-08-01,Catering services,34.4
1988,1988-08-01,Accommodation services,NA
1988,1988-08-01,Personal care,51.9
1988,1988-08-01,Personal effects n.e.c.,68.9
1988,1988-08-01,Social protection,NA
1988,1988-08-01,Insurance,22.5
1988,1988-08-01,Financial services n.e.c.,96.2
1988,1988-08-01,Other services nec,31.7
1988,1988-09-01,Cpi index 00: all items,50.1
1988,1988-09-01,Food,48.9
1988,1988-09-01,Non-alcoholic beverages,48.8
1988,1988-09-01,Alcoholic beverages,56.2
1988,1988-09-01,Tobacco,16.7
1988,1988-09-01,Clothing,207.6
1988,1988-09-01,Footwear including repairs,158.3
1988,1988-09-01,Actual rents for housing,33.3
1988,1988-09-01,Regular maintenance and repair of the dwelling,41
1988,1988-09-01,Water supply and misc. services for the dwelling,23.2
1988,1988-09-01,"Electricity, gas and other fuels",30.8
1988,1988-09-01,"Furniture, furnishings and carpets",65
1988,1988-09-01,Household textiles,122.9
1988,1988-09-01,"Household appliances, fitting and repairs",110.2
1988,1988-09-01,"Glassware, tableware and household utensils",84.7
1988,1988-09-01,Tools and equipment for house and garden,70.9
1988,1988-09-01,Goods and services for routine maintenance,43.4
1988,1988-09-01,Medical products appliances and equipment,53.7
1988,1988-09-01,Out-patient services:,NA
1988,1988-09-01,Hospital services,NA
1988,1988-09-01,Purchase of vehicles,93.4
1988,1988-09-01,Operation of personal transport equipment,30
1988,1988-09-01,Transport services,23.2
1988,1988-09-01,Postal services,26.9
1988,1988-09-01,Audio-visual equipment and related products,732.5
1988,1988-09-01,Other major durables for recreation and culture,NA
1988,1988-09-01,Other recreational items and equipment gardens & pets,95.5
1988,1988-09-01,Recreational and cultural services,35
1988,1988-09-01,"Books, newspapers and stationery",38.9
1988,1988-09-01,Package holiday,NA
1988,1988-09-01,Cpi index 10.4 tertiary education,NA
1988,1988-09-01,Catering services,34.6
1988,1988-09-01,Accommodation services,NA
1988,1988-09-01,Personal care,52.1
1988,1988-09-01,Personal effects n.e.c.,69.1
1988,1988-09-01,Social protection,NA
1988,1988-09-01,Insurance,22.5
1988,1988-09-01,Financial services n.e.c.,96.4
1988,1988-09-01,Other services nec,31.8
1988,1988-10-01,Cpi index 00: all items,50.3
1988,1988-10-01,Food,48.9
1988,1988-10-01,Non-alcoholic beverages,48.9
1988,1988-10-01,Alcoholic beverages,56.4
1988,1988-10-01,Tobacco,16.7
1988,1988-10-01,Clothing,211.6
1988,1988-10-01,Footwear including repairs,161.8
1988,1988-10-01,Actual rents for housing,33.6
1988,1988-10-01,Regular maintenance and repair of the dwelling,41.1
1988,1988-10-01,Water supply and misc. services for the dwelling,23.2
1988,1988-10-01,"Electricity, gas and other fuels",30.9
1988,1988-10-01,"Furniture, furnishings and carpets",65.3
1988,1988-10-01,Household textiles,123.3
1988,1988-10-01,"Household appliances, fitting and repairs",110.4
1988,1988-10-01,"Glassware, tableware and household utensils",84.5
1988,1988-10-01,Tools and equipment for house and garden,71.1
1988,1988-10-01,Goods and services for routine maintenance,43.7
1988,1988-10-01,Medical products appliances and equipment,54.1
1988,1988-10-01,Out-patient services:,NA
1988,1988-10-01,Hospital services,NA
1988,1988-10-01,Purchase of vehicles,93.8
1988,1988-10-01,Operation of personal transport equipment,30
1988,1988-10-01,Transport services,23.2
1988,1988-10-01,Postal services,26.9
1988,1988-10-01,Audio-visual equipment and related products,734.2
1988,1988-10-01,Other major durables for recreation and culture,NA
1988,1988-10-01,Other recreational items and equipment gardens & pets,95.9
1988,1988-10-01,Recreational and cultural services,35
1988,1988-10-01,"Books, newspapers and stationery",39.3
1988,1988-10-01,Package holiday,NA
1988,1988-10-01,Cpi index 10.4 tertiary education,NA
1988,1988-10-01,Catering services,34.8
1988,1988-10-01,Accommodation services,NA
1988,1988-10-01,Personal care,52.2
1988,1988-10-01,Personal effects n.e.c.,69.3
1988,1988-10-01,Social protection,NA
1988,1988-10-01,Insurance,22.8
1988,1988-10-01,Financial services n.e.c.,96.4
1988,1988-10-01,Other services nec,31.9
1988,1988-11-01,Cpi index 00: all items,50.5
1988,1988-11-01,Food,49.3
1988,1988-11-01,Non-alcoholic beverages,49
1988,1988-11-01,Alcoholic beverages,55.7
1988,1988-11-01,Tobacco,16.9
1988,1988-11-01,Clothing,213
1988,1988-11-01,Footwear including repairs,162.3
1988,1988-11-01,Actual rents for housing,33.7
1988,1988-11-01,Regular maintenance and repair of the dwelling,41.3
1988,1988-11-01,Water supply and misc. services for the dwelling,23.2
1988,1988-11-01,"Electricity, gas and other fuels",30.9
1988,1988-11-01,"Furniture, furnishings and carpets",65.6
1988,1988-11-01,Household textiles,124.1
1988,1988-11-01,"Household appliances, fitting and repairs",111
1988,1988-11-01,"Glassware, tableware and household utensils",84.9
1988,1988-11-01,Tools and equipment for house and garden,71.8
1988,1988-11-01,Goods and services for routine maintenance,43.6
1988,1988-11-01,Medical products appliances and equipment,54.3
1988,1988-11-01,Out-patient services:,NA
1988,1988-11-01,Hospital services,NA
1988,1988-11-01,Purchase of vehicles,93.7
1988,1988-11-01,Operation of personal transport equipment,30
1988,1988-11-01,Transport services,23.3
1988,1988-11-01,Postal services,26.9
1988,1988-11-01,Audio-visual equipment and related products,728.7
1988,1988-11-01,Other major durables for recreation and culture,NA
1988,1988-11-01,Other recreational items and equipment gardens & pets,96.1
1988,1988-11-01,Recreational and cultural services,35.3
1988,1988-11-01,"Books, newspapers and stationery",39.3
1988,1988-11-01,Package holiday,NA
1988,1988-11-01,Cpi index 10.4 tertiary education,NA
1988,1988-11-01,Catering services,35
1988,1988-11-01,Accommodation services,NA
1988,1988-11-01,Personal care,52.7
1988,1988-11-01,Personal effects n.e.c.,69.6
1988,1988-11-01,Social protection,NA
1988,1988-11-01,Insurance,22.8
1988,1988-11-01,Financial services n.e.c.,96.3
1988,1988-11-01,Other services nec,32.7
1988,1988-12-01,Cpi index 00: all items,50.6
1988,1988-12-01,Food,49.7
1988,1988-12-01,Non-alcoholic beverages,49.2
1988,1988-12-01,Alcoholic beverages,55.1
1988,1988-12-01,Tobacco,16.9
1988,1988-12-01,Clothing,213.9
1988,1988-12-01,Footwear including repairs,162.7
1988,1988-12-01,Actual rents for housing,33.5
1988,1988-12-01,Regular maintenance and repair of the dwelling,41.3
1988,1988-12-01,Water supply and misc. services for the dwelling,23.2
1988,1988-12-01,"Electricity, gas and other fuels",31
1988,1988-12-01,"Furniture, furnishings and carpets",65.7
1988,1988-12-01,Household textiles,124.4
1988,1988-12-01,"Household appliances, fitting and repairs",110.9
1988,1988-12-01,"Glassware, tableware and household utensils",84.8
1988,1988-12-01,Tools and equipment for house and garden,71.8
1988,1988-12-01,Goods and services for routine maintenance,43.7
1988,1988-12-01,Medical products appliances and equipment,54.4
1988,1988-12-01,Out-patient services:,NA
1988,1988-12-01,Hospital services,NA
1988,1988-12-01,Purchase of vehicles,93.2
1988,1988-12-01,Operation of personal transport equipment,30
1988,1988-12-01,Transport services,23.3
1988,1988-12-01,Postal services,26.9
1988,1988-12-01,Audio-visual equipment and related products,728.7
1988,1988-12-01,Other major durables for recreation and culture,NA
1988,1988-12-01,Other recreational items and equipment gardens & pets,96.2
1988,1988-12-01,Recreational and cultural services,35.4
1988,1988-12-01,"Books, newspapers and stationery",39.3
1988,1988-12-01,Package holiday,NA
1988,1988-12-01,Cpi index 10.4 tertiary education,NA
1988,1988-12-01,Catering services,35
1988,1988-12-01,Accommodation services,NA
1988,1988-12-01,Personal care,52.8
1988,1988-12-01,Personal effects n.e.c.,69.7
1988,1988-12-01,Social protection,NA
1988,1988-12-01,Insurance,22.8
1988,1988-12-01,Financial services n.e.c.,97.2
1988,1988-12-01,Other services nec,32.7
1989,1989-01-01,Cpi index 00: all items,50.8
1989,1989-01-01,Food,50.1
1989,1989-01-01,Non-alcoholic beverages,49.4
1989,1989-01-01,Alcoholic beverages,56.3
1989,1989-01-01,Tobacco,17
1989,1989-01-01,Clothing,208.7
1989,1989-01-01,Footwear including repairs,161.2
1989,1989-01-01,Actual rents for housing,33.7
1989,1989-01-01,Regular maintenance and repair of the dwelling,41.4
1989,1989-01-01,Water supply and misc. services for the dwelling,23.3
1989,1989-01-01,"Electricity, gas and other fuels",31
1989,1989-01-01,"Furniture, furnishings and carpets",64.9
1989,1989-01-01,Household textiles,123
1989,1989-01-01,"Household appliances, fitting and repairs",109.9
1989,1989-01-01,"Glassware, tableware and household utensils",84.4
1989,1989-01-01,Tools and equipment for house and garden,72.2
1989,1989-01-01,Goods and services for routine maintenance,44
1989,1989-01-01,Medical products appliances and equipment,55.7
1989,1989-01-01,Out-patient services:,NA
1989,1989-01-01,Hospital services,NA
1989,1989-01-01,Purchase of vehicles,93.1
1989,1989-01-01,Operation of personal transport equipment,30.2
1989,1989-01-01,Transport services,24.2
1989,1989-01-01,Postal services,26.9
1989,1989-01-01,Audio-visual equipment and related products,723.5
1989,1989-01-01,Other major durables for recreation and culture,NA
1989,1989-01-01,Other recreational items and equipment gardens & pets,96.4
1989,1989-01-01,Recreational and cultural services,35.5
1989,1989-01-01,"Books, newspapers and stationery",39.6
1989,1989-01-01,Package holiday,NA
1989,1989-01-01,Cpi index 10.4 tertiary education,NA
1989,1989-01-01,Catering services,35.2
1989,1989-01-01,Accommodation services,NA
1989,1989-01-01,Personal care,53.3
1989,1989-01-01,Personal effects n.e.c.,69.3
1989,1989-01-01,Social protection,NA
1989,1989-01-01,Insurance,23.4
1989,1989-01-01,Financial services n.e.c.,98.1
1989,1989-01-01,Other services nec,34.3
1989,1989-02-01,Cpi index 00: all items,51
1989,1989-02-01,Food,50.2
1989,1989-02-01,Non-alcoholic beverages,49.7
1989,1989-02-01,Alcoholic beverages,56.9
1989,1989-02-01,Tobacco,17
1989,1989-02-01,Clothing,210.8
1989,1989-02-01,Footwear including repairs,162.4
1989,1989-02-01,Actual rents for housing,33.7
1989,1989-02-01,Regular maintenance and repair of the dwelling,41.6
1989,1989-02-01,Water supply and misc. services for the dwelling,23.3
1989,1989-02-01,"Electricity, gas and other fuels",31
1989,1989-02-01,"Furniture, furnishings and carpets",65.4
1989,1989-02-01,Household textiles,124
1989,1989-02-01,"Household appliances, fitting and repairs",109.8
1989,1989-02-01,"Glassware, tableware and household utensils",84.9
1989,1989-02-01,Tools and equipment for house and garden,72.5
1989,1989-02-01,Goods and services for routine maintenance,44.3
1989,1989-02-01,Medical products appliances and equipment,56
1989,1989-02-01,Out-patient services:,NA
1989,1989-02-01,Hospital services,NA
1989,1989-02-01,Purchase of vehicles,92.8
1989,1989-02-01,Operation of personal transport equipment,30.5
1989,1989-02-01,Transport services,24.3
1989,1989-02-01,Postal services,26.9
1989,1989-02-01,Audio-visual equipment and related products,723.4
1989,1989-02-01,Other major durables for recreation and culture,NA
1989,1989-02-01,Other recreational items and equipment gardens & pets,97.1
1989,1989-02-01,Recreational and cultural services,35.6
1989,1989-02-01,"Books, newspapers and stationery",39.8
1989,1989-02-01,Package holiday,NA
1989,1989-02-01,Cpi index 10.4 tertiary education,NA
1989,1989-02-01,Catering services,35.3
1989,1989-02-01,Accommodation services,NA
1989,1989-02-01,Personal care,53.6
1989,1989-02-01,Personal effects n.e.c.,69.7
1989,1989-02-01,Social protection,NA
1989,1989-02-01,Insurance,23.4
1989,1989-02-01,Financial services n.e.c.,98.6
1989,1989-02-01,Other services nec,35
1989,1989-03-01,Cpi index 00: all items,51.2
1989,1989-03-01,Food,50.5
1989,1989-03-01,Non-alcoholic beverages,49.9
1989,1989-03-01,Alcoholic beverages,57.1
1989,1989-03-01,Tobacco,17
1989,1989-03-01,Clothing,211.8
1989,1989-03-01,Footwear including repairs,162.5
1989,1989-03-01,Actual rents for housing,33.7
1989,1989-03-01,Regular maintenance and repair of the dwelling,41.7
1989,1989-03-01,Water supply and misc. services for the dwelling,23.3
1989,1989-03-01,"Electricity, gas and other fuels",31
1989,1989-03-01,"Furniture, furnishings and carpets",66.1
1989,1989-03-01,Household textiles,124.7
1989,1989-03-01,"Household appliances, fitting and repairs",109.8
1989,1989-03-01,"Glassware, tableware and household utensils",85.3
1989,1989-03-01,Tools and equipment for house and garden,72.8
1989,1989-03-01,Goods and services for routine maintenance,44.6
1989,1989-03-01,Medical products appliances and equipment,56.1
1989,1989-03-01,Out-patient services:,NA
1989,1989-03-01,Hospital services,NA
1989,1989-03-01,Purchase of vehicles,93.6
1989,1989-03-01,Operation of personal transport equipment,30.8
1989,1989-03-01,Transport services,24.3
1989,1989-03-01,Postal services,26.9
1989,1989-03-01,Audio-visual equipment and related products,722.2
1989,1989-03-01,Other major durables for recreation and culture,NA
1989,1989-03-01,Other recreational items and equipment gardens & pets,97.4
1989,1989-03-01,Recreational and cultural services,35.6
1989,1989-03-01,"Books, newspapers and stationery",39.9
1989,1989-03-01,Package holiday,NA
1989,1989-03-01,Cpi index 10.4 tertiary education,NA
1989,1989-03-01,Catering services,35.5
1989,1989-03-01,Accommodation services,NA
1989,1989-03-01,Personal care,53.9
1989,1989-03-01,Personal effects n.e.c.,69.6
1989,1989-03-01,Social protection,NA
1989,1989-03-01,Insurance,23.4
1989,1989-03-01,Financial services n.e.c.,98.6
1989,1989-03-01,Other services nec,35
1989,1989-04-01,Cpi index 00: all items,51.9
1989,1989-04-01,Food,51.1
1989,1989-04-01,Non-alcoholic beverages,50.3
1989,1989-04-01,Alcoholic beverages,57.6
1989,1989-04-01,Tobacco,17
