Year,Date,CPI component,pct_change
1988,1988-07-01,"Household appliances, fitting and repairs",109.5
1988,1988-07-01,"Glassware, tableware and household utensils",84.1
1988,1988-07-01,Tools and equipment for house and garden,70.7
1988,1988-07-01,Goods and services for routine maintenance,43.1
1988,1988-07-01,Medical products appliances and equipment,53.5
1988,1988-07-01,Out-patient services:,NA
1988,1988-07-01,Hospital services,NA
1988,1988-07-01,Purchase of vehicles,92.8
1988,1988-07-01,Operation of personal transport equipment,30
1988,1988-07-01,Transport services,23.1
1988,1988-07-01,Postal services,25.9
1988,1988-07-01,Audio-visual equipment and related products,737.2
1988,1988-07-01,Other major durables for recreation and culture,NA
1988,1988-07-01,Other recreational items and equipment gardens & pets,95.3
1988,1988-07-01,Recreational and cultural services,34.9
1988,1988-07-01,"Books, newspapers and stationery",38.8
1988,1988-07-01,Package holiday,NA
1988,1988-07-01,Cpi index 10.4 tertiary education,NA
1988,1988-07-01,Catering services,34.4
1988,1988-07-01,Accommodation services,NA
1988,1988-07-01,Personal care,51.9
1988,1988-07-01,Personal effects n.e.c.,68.9
1988,1988-07-01,Social protection,NA
1988,1988-07-01,Insurance,22.5
1988,1988-07-01,Financial services n.e.c.,96.4
1988,1988-07-01,Other services nec,31.6
1988,1988-10-01,Cpi index 00: all items,50.5
1988,1988-10-01,Food,49.3
1988,1988-10-01,Non-alcoholic beverages,49
1988,1988-10-01,Alcoholic beverages,55.7
1988,1988-10-01,Tobacco,16.8
1988,1988-10-01,Clothing,212.8
1988,1988-10-01,Footwear including repairs,162.3
1988,1988-10-01,Actual rents for housing,33.6
1988,1988-10-01,Regular maintenance and repair of the dwelling,41.2
1988,1988-10-01,Water supply and misc. services for the dwelling,23.2
1988,1988-10-01,"Electricity, gas and other fuels",30.9
1988,1988-10-01,"Furniture, furnishings and carpets",65.5
1988,1988-10-01,Household textiles,123.9
1988,1988-10-01,"Household appliances, fitting and repairs",110.8
1988,1988-10-01,"Glassware, tableware and household utensils",84.8
1988,1988-10-01,Tools and equipment for house and garden,71.6
1988,1988-10-01,Goods and services for routine maintenance,43.7
1988,1988-10-01,Medical products appliances and equipment,54.3
1988,1988-10-01,Out-patient services:,NA
1988,1988-10-01,Hospital services,NA
1988,1988-10-01,Purchase of vehicles,93.6
1988,1988-10-01,Operation of personal transport equipment,30
1988,1988-10-01,Transport services,23.3
1988,1988-10-01,Postal services,26.9
1988,1988-10-01,Audio-visual equipment and related products,730.5
1988,1988-10-01,Other major durables for recreation and culture,NA
1988,1988-10-01,Other recreational items and equipment gardens & pets,96.1
1988,1988-10-01,Recreational and cultural services,35.2
1988,1988-10-01,"Books, newspapers and stationery",39.3
1988,1988-10-01,Package holiday,NA
1988,1988-10-01,Cpi index 10.4 tertiary education,NA
1988,1988-10-01,Catering services,34.9
1988,1988-10-01,Accommodation services,NA
1988,1988-10-01,Personal care,52.6
1988,1988-10-01,Personal effects n.e.c.,69.5
1988,1988-10-01,Social protection,NA
1988,1988-10-01,Insurance,22.8
1988,1988-10-01,Financial services n.e.c.,96.6
1988,1988-10-01,Other services nec,32.5
1989,1989-01-01,Cpi index 00: all items,51
1989,1989-01-01,Food,50.3
1989,1989-01-01,Non-alcoholic beverages,49.7
1989,1989-01-01,Alcoholic beverages,56.7
1989,1989-01-01,Tobacco,17
1989,1989-01-01,Clothing,210.4
1989,1989-01-01,Footwear including repairs,162
1989,1989-01-01,Actual rents for housing,33.7
1989,1989-01-01,Regular maintenance and repair of the dwelling,41.6
1989,1989-01-01,Water supply and misc. services for the dwelling,23.3
1989,1989-01-01,"Electricity, gas and other fuels",31
1989,1989-01-01,"Furniture, furnishings and carpets",65.5
1989,1989-01-01,Household textiles,123.9
1989,1989-01-01,"Household appliances, fitting and repairs",109.8
1989,1989-01-01,"Glassware, tableware and household utensils",84.8
1989,1989-01-01,Tools and equipment for house and garden,72.5
1989,1989-01-01,Goods and services for routine maintenance,44.3
1989,1989-01-01,Medical products appliances and equipment,55.9
1989,1989-01-01,Out-patient services:,NA
1989,1989-01-01,Hospital services,NA
1989,1989-01-01,Purchase of vehicles,93.2
1989,1989-01-01,Operation of personal transport equipment,30.5
1989,1989-01-01,Transport services,24.3
1989,1989-01-01,Postal services,26.9
1989,1989-01-01,Audio-visual equipment and related products,723
1989,1989-01-01,Other major durables for recreation and culture,NA
1989,1989-01-01,Other recreational items and equipment gardens & pets,97
1989,1989-01-01,Recreational and cultural services,35.6
1989,1989-01-01,"Books, newspapers and stationery",39.7
1989,1989-01-01,Package holiday,NA
1989,1989-01-01,Cpi index 10.4 tertiary education,NA
1989,1989-01-01,Catering services,35.4
1989,1989-01-01,Accommodation services,NA
1989,1989-01-01,Personal care,53.6
1989,1989-01-01,Personal effects n.e.c.,69.5
1989,1989-01-01,Social protection,NA
1989,1989-01-01,Insurance,23.4
1989,1989-01-01,Financial services n.e.c.,98.4
1989,1989-01-01,Other services nec,34.8
1989,1989-04-01,Cpi index 00: all items,52.1
1989,1989-04-01,Food,51.4
1989,1989-04-01,Non-alcoholic beverages,50.4
1989,1989-04-01,Alcoholic beverages,57.8
1989,1989-04-01,Tobacco,17
1989,1989-04-01,Clothing,217.3
1989,1989-04-01,Footwear including repairs,164.1
1989,1989-04-01,Actual rents for housing,36.1
1989,1989-04-01,Regular maintenance and repair of the dwelling,42.4
1989,1989-04-01,Water supply and misc. services for the dwelling,26.5
1989,1989-04-01,"Electricity, gas and other fuels",31.7
1989,1989-04-01,"Furniture, furnishings and carpets",66.6
1989,1989-04-01,Household textiles,125.9
1989,1989-04-01,"Household appliances, fitting and repairs",110.1
1989,1989-04-01,"Glassware, tableware and household utensils",86
1989,1989-04-01,Tools and equipment for house and garden,73.4
1989,1989-04-01,Goods and services for routine maintenance,45.4
1989,1989-04-01,Medical products appliances and equipment,57.3
1989,1989-04-01,Out-patient services:,NA
1989,1989-04-01,Hospital services,NA
1989,1989-04-01,Purchase of vehicles,94.6
1989,1989-04-01,Operation of personal transport equipment,32.2
1989,1989-04-01,Transport services,24.6
1989,1989-04-01,Postal services,26.9
1989,1989-04-01,Audio-visual equipment and related products,721.7
1989,1989-04-01,Other major durables for recreation and culture,NA
1989,1989-04-01,Other recreational items and equipment gardens & pets,98
1989,1989-04-01,Recreational and cultural services,36.3
1989,1989-04-01,"Books, newspapers and stationery",40.9
1989,1989-04-01,Package holiday,NA
1989,1989-04-01,Cpi index 10.4 tertiary education,NA
1989,1989-04-01,Catering services,35.8
1989,1989-04-01,Accommodation services,NA
1989,1989-04-01,Personal care,54.7
1989,1989-04-01,Personal effects n.e.c.,70
1989,1989-04-01,Social protection,NA
1989,1989-04-01,Insurance,23.6
1989,1989-04-01,Financial services n.e.c.,99.8
1989,1989-04-01,Other services nec,35.7
1989,1989-07-01,Cpi index 00: all items,52.5
1989,1989-07-01,Food,51.5
1989,1989-07-01,Non-alcoholic beverages,51
1989,1989-07-01,Alcoholic beverages,58.3
1989,1989-07-01,Tobacco,17
1989,1989-07-01,Clothing,214.5
1989,1989-07-01,Footwear including repairs,164.8
1989,1989-07-01,Actual rents for housing,36.3
1989,1989-07-01,Regular maintenance and repair of the dwelling,43
1989,1989-07-01,Water supply and misc. services for the dwelling,26.1
1989,1989-07-01,"Electricity, gas and other fuels",32.3
1989,1989-07-01,"Furniture, furnishings and carpets",66.6
1989,1989-07-01,Household textiles,125.5
1989,1989-07-01,"Household appliances, fitting and repairs",109.9
1989,1989-07-01,"Glassware, tableware and household utensils",87.5
1989,1989-07-01,Tools and equipment for house and garden,74.7
1989,1989-07-01,Goods and services for routine maintenance,46
1989,1989-07-01,Medical products appliances and equipment,58.1
1989,1989-07-01,Out-patient services:,NA
1989,1989-07-01,Hospital services,NA
1989,1989-07-01,Purchase of vehicles,95.3
1989,1989-07-01,Operation of personal transport equipment,32.1
1989,1989-07-01,Transport services,24.9
1989,1989-07-01,Postal services,26.9
1989,1989-07-01,Audio-visual equipment and related products,720
1989,1989-07-01,Other major durables for recreation and culture,NA
1989,1989-07-01,Other recreational items and equipment gardens & pets,98.7
1989,1989-07-01,Recreational and cultural services,36.8
1989,1989-07-01,"Books, newspapers and stationery",41.6
1989,1989-07-01,Package holiday,NA
1989,1989-07-01,Cpi index 10.4 tertiary education,NA
1989,1989-07-01,Catering services,36.5
1989,1989-07-01,Accommodation services,NA
1989,1989-07-01,Personal care,55.5
1989,1989-07-01,Personal effects n.e.c.,70.1
1989,1989-07-01,Social protection,NA
1989,1989-07-01,Insurance,23.7
1989,1989-07-01,Financial services n.e.c.,102.9
1989,1989-07-01,Other services nec,35.4
1989,1989-10-01,Cpi index 00: all items,53.3
1989,1989-10-01,Food,53
1989,1989-10-01,Non-alcoholic beverages,51.3
1989,1989-10-01,Alcoholic beverages,58.2
1989,1989-10-01,Tobacco,17.4
1989,1989-10-01,Clothing,221.2
1989,1989-10-01,Footwear including repairs,168.9
1989,1989-10-01,Actual rents for housing,36.7
1989,1989-10-01,Regular maintenance and repair of the dwelling,43.6
1989,1989-10-01,Water supply and misc. services for the dwelling,26.1
1989,1989-10-01,"Electricity, gas and other fuels",32.6
1989,1989-10-01,"Furniture, furnishings and carpets",67.7
1989,1989-10-01,Household textiles,127.5
1989,1989-10-01,"Household appliances, fitting and repairs",110.7
1989,1989-10-01,"Glassware, tableware and household utensils",88.9
1989,1989-10-01,Tools and equipment for house and garden,75.8
1989,1989-10-01,Goods and services for routine maintenance,46.6
1989,1989-10-01,Medical products appliances and equipment,58.6
1989,1989-10-01,Out-patient services:,NA
1989,1989-10-01,Hospital services,NA
1989,1989-10-01,Purchase of vehicles,94.6
1989,1989-10-01,Operation of personal transport equipment,32.1
1989,1989-10-01,Transport services,25
1989,1989-10-01,Postal services,28.5
1989,1989-10-01,Audio-visual equipment and related products,724.5
1989,1989-10-01,Other major durables for recreation and culture,NA
1989,1989-10-01,Other recreational items and equipment gardens & pets,99.3
1989,1989-10-01,Recreational and cultural services,37.4
1989,1989-10-01,"Books, newspapers and stationery",42.8
1989,1989-10-01,Package holiday,NA
1989,1989-10-01,Cpi index 10.4 tertiary education,NA
1989,1989-10-01,Catering services,37.2
1989,1989-10-01,Accommodation services,NA
1989,1989-10-01,Personal care,56.4
1989,1989-10-01,Personal effects n.e.c.,70.8
1989,1989-10-01,Social protection,NA
1989,1989-10-01,Insurance,23.9
1989,1989-10-01,Financial services n.e.c.,103.9
1989,1989-10-01,Other services nec,35.7
1990,1990-01-01,Cpi index 00: all items,53.9
1990,1990-01-01,Food,54.7
1990,1990-01-01,Non-alcoholic beverages,52.4
1990,1990-01-01,Alcoholic beverages,59.3
1990,1990-01-01,Tobacco,17.4
1990,1990-01-01,Clothing,217.8
1990,1990-01-01,Footwear including repairs,170.2
1990,1990-01-01,Actual rents for housing,37
1990,1990-01-01,Regular maintenance and repair of the dwelling,44.6
1990,1990-01-01,Water supply and misc. services for the dwelling,26.4
1990,1990-01-01,"Electricity, gas and other fuels",32.8
1990,1990-01-01,"Furniture, furnishings and carpets",68.6
1990,1990-01-01,Household textiles,127.2
1990,1990-01-01,"Household appliances, fitting and repairs",110.1
1990,1990-01-01,"Glassware, tableware and household utensils",89.7
1990,1990-01-01,Tools and equipment for house and garden,76.6
1990,1990-01-01,Goods and services for routine maintenance,47.6
1990,1990-01-01,Medical products appliances and equipment,60.4
1990,1990-01-01,Out-patient services:,NA
1990,1990-01-01,Hospital services,NA
1990,1990-01-01,Purchase of vehicles,93.6
1990,1990-01-01,Operation of personal transport equipment,32.8
1990,1990-01-01,Transport services,25.8
1990,1990-01-01,Postal services,28.6
1990,1990-01-01,Audio-visual equipment and related products,722.6
1990,1990-01-01,Other major durables for recreation and culture,NA
1990,1990-01-01,Other recreational items and equipment gardens & pets,101
1990,1990-01-01,Recreational and cultural services,37.9
1990,1990-01-01,"Books, newspapers and stationery",43.3
1990,1990-01-01,Package holiday,NA
1990,1990-01-01,Cpi index 10.4 tertiary education,NA
1990,1990-01-01,Catering services,37.8
1990,1990-01-01,Accommodation services,NA
1990,1990-01-01,Personal care,57.8
1990,1990-01-01,Personal effects n.e.c.,70.7
1990,1990-01-01,Social protection,NA
1990,1990-01-01,Insurance,24.4
1990,1990-01-01,Financial services n.e.c.,110
1990,1990-01-01,Other services nec,36.1
1990,1990-04-01,Cpi index 00: all items,55.6
1990,1990-04-01,Food,55.9
1990,1990-04-01,Non-alcoholic beverages,54.8
1990,1990-04-01,Alcoholic beverages,62.5
1990,1990-04-01,Tobacco,18.3
1990,1990-04-01,Clothing,224
1990,1990-04-01,Footwear including repairs,173.6
1990,1990-04-01,Actual rents for housing,40
1990,1990-04-01,Regular maintenance and repair of the dwelling,45.6
1990,1990-04-01,Water supply and misc. services for the dwelling,29.8
1990,1990-04-01,"Electricity, gas and other fuels",33.9
1990,1990-04-01,"Furniture, furnishings and carpets",70
1990,1990-04-01,Household textiles,129.2
1990,1990-04-01,"Household appliances, fitting and repairs",111.7
1990,1990-04-01,"Glassware, tableware and household utensils",91.1
1990,1990-04-01,Tools and equipment for house and garden,77.7
1990,1990-04-01,Goods and services for routine maintenance,49
1990,1990-04-01,Medical products appliances and equipment,61.7
1990,1990-04-01,Out-patient services:,NA
1990,1990-04-01,Hospital services,NA
1990,1990-04-01,Purchase of vehicles,96
1990,1990-04-01,Operation of personal transport equipment,34.4
1990,1990-04-01,Transport services,26.4
1990,1990-04-01,Postal services,28.5
1990,1990-04-01,Audio-visual equipment and related products,725.7
1990,1990-04-01,Other major durables for recreation and culture,NA
1990,1990-04-01,Other recreational items and equipment gardens & pets,102.3
1990,1990-04-01,Recreational and cultural services,39.2
1990,1990-04-01,"Books, newspapers and stationery",44.2
1990,1990-04-01,Package holiday,NA
1990,1990-04-01,Cpi index 10.4 tertiary education,NA
1990,1990-04-01,Catering services,39.2
1990,1990-04-01,Accommodation services,NA
1990,1990-04-01,Personal care,58.9
1990,1990-04-01,Personal effects n.e.c.,71.3
1990,1990-04-01,Social protection,NA
1990,1990-04-01,Insurance,24.3
1990,1990-04-01,Financial services n.e.c.,111.3
1990,1990-04-01,Other services nec,36.8
1990,1990-07-01,Cpi index 00: all items,56.4
1990,1990-07-01,Food,55.8
1990,1990-07-01,Non-alcoholic beverages,55.8
1990,1990-07-01,Alcoholic beverages,64.1
1990,1990-07-01,Tobacco,18.5
1990,1990-07-01,Clothing,220.2
1990,1990-07-01,Footwear including repairs,174.6
1990,1990-07-01,Actual rents for housing,40.9
1990,1990-07-01,Regular maintenance and repair of the dwelling,46.6
1990,1990-07-01,Water supply and misc. services for the dwelling,29.8
1990,1990-07-01,"Electricity, gas and other fuels",35.2
1990,1990-07-01,"Furniture, furnishings and carpets",70.5
1990,1990-07-01,Household textiles,128.2
1990,1990-07-01,"Household appliances, fitting and repairs",111.2
1990,1990-07-01,"Glassware, tableware and household utensils",92.1
1990,1990-07-01,Tools and equipment for house and garden,79.1
1990,1990-07-01,Goods and services for routine maintenance,48.9
1990,1990-07-01,Medical products appliances and equipment,63.1
1990,1990-07-01,Out-patient services:,NA
1990,1990-07-01,Hospital services,NA
1990,1990-07-01,Purchase of vehicles,98.2
1990,1990-07-01,Operation of personal transport equipment,36.1
1990,1990-07-01,Transport services,26.8
1990,1990-07-01,Postal services,28.6
1990,1990-07-01,Audio-visual equipment and related products,723
1990,1990-07-01,Other major durables for recreation and culture,NA
1990,1990-07-01,Other recreational items and equipment gardens & pets,102.9
1990,1990-07-01,Recreational and cultural services,39.7
1990,1990-07-01,"Books, newspapers and stationery",44.7
1990,1990-07-01,Package holiday,NA
1990,1990-07-01,Cpi index 10.4 tertiary education,NA
1990,1990-07-01,Catering services,40.2
1990,1990-07-01,Accommodation services,NA
1990,1990-07-01,Personal care,59.9
1990,1990-07-01,Personal effects n.e.c.,71.7
1990,1990-07-01,Social protection,NA
1990,1990-07-01,Insurance,24.9
1990,1990-07-01,Financial services n.e.c.,114.7
1990,1990-07-01,Other services nec,37.1
1990,1990-10-01,Cpi index 00: all items,57.5
1990,1990-10-01,Food,56.6
1990,1990-10-01,Non-alcoholic beverages,55.7
1990,1990-10-01,Alcoholic beverages,63.9
1990,1990-10-01,Tobacco,18.8
1990,1990-10-01,Clothing,228.6
1990,1990-10-01,Footwear including repairs,179.4
1990,1990-10-01,Actual rents for housing,41.2
1990,1990-10-01,Regular maintenance and repair of the dwelling,47.5
1990,1990-10-01,Water supply and misc. services for the dwelling,29.7
1990,1990-10-01,"Electricity, gas and other fuels",36
1990,1990-10-01,"Furniture, furnishings and carpets",72.2
1990,1990-10-01,Household textiles,130.3
1990,1990-10-01,"Household appliances, fitting and repairs",112.9
1990,1990-10-01,"Glassware, tableware and household utensils",93.9
1990,1990-10-01,Tools and equipment for house and garden,80.2
1990,1990-10-01,Goods and services for routine maintenance,50.6
1990,1990-10-01,Medical products appliances and equipment,64.5
1990,1990-10-01,Out-patient services:,NA
1990,1990-10-01,Hospital services,NA
1990,1990-10-01,Purchase of vehicles,97.8
1990,1990-10-01,Operation of personal transport equipment,37.2
1990,1990-10-01,Transport services,27.1
1990,1990-10-01,Postal services,30.9
1990,1990-10-01,Audio-visual equipment and related products,729.8
1990,1990-10-01,Other major durables for recreation and culture,NA
1990,1990-10-01,Other recreational items and equipment gardens & pets,103.8
1990,1990-10-01,Recreational and cultural services,40.5
1990,1990-10-01,"Books, newspapers and stationery",46.5
1990,1990-10-01,Package holiday,NA
1990,1990-10-01,Cpi index 10.4 tertiary education,NA
1990,1990-10-01,Catering services,41
1990,1990-10-01,Accommodation services,NA
1990,1990-10-01,Personal care,61.3
1990,1990-10-01,Personal effects n.e.c.,72.5
1990,1990-10-01,Social protection,NA
1990,1990-10-01,Insurance,25.4
1990,1990-10-01,Financial services n.e.c.,117
1990,1990-10-01,Other services nec,36.9
1991,1991-01-01,Cpi index 00: all items,57.7
1991,1991-01-01,Food,58
1991,1991-01-01,Non-alcoholic beverages,55.7
1991,1991-01-01,Alcoholic beverages,65.4
1991,1991-01-01,Tobacco,19
1991,1991-01-01,Clothing,219.6
1991,1991-01-01,Footwear including repairs,178.9
1991,1991-01-01,Actual rents for housing,41.5
1991,1991-01-01,Regular maintenance and repair of the dwelling,49
1991,1991-01-01,Water supply and misc. services for the dwelling,29.7
1991,1991-01-01,"Electricity, gas and other fuels",36.1
1991,1991-01-01,"Furniture, furnishings and carpets",71.6
1991,1991-01-01,Household textiles,126.9
1991,1991-01-01,"Household appliances, fitting and repairs",110.9
1991,1991-01-01,"Glassware, tableware and household utensils",94.6
1991,1991-01-01,Tools and equipment for house and garden,81.5
1991,1991-01-01,Goods and services for routine maintenance,51.9
1991,1991-01-01,Medical products appliances and equipment,65.5
1991,1991-01-01,Out-patient services:,NA
1991,1991-01-01,Hospital services,NA
1991,1991-01-01,Purchase of vehicles,96.6
1991,1991-01-01,Operation of personal transport equipment,35.9
1991,1991-01-01,Transport services,28.8
1991,1991-01-01,Postal services,31
1991,1991-01-01,Audio-visual equipment and related products,720.9
1991,1991-01-01,Other major durables for recreation and culture,NA
1991,1991-01-01,Other recreational items and equipment gardens & pets,105.2
1991,1991-01-01,Recreational and cultural services,41
1991,1991-01-01,"Books, newspapers and stationery",46.9
1991,1991-01-01,Package holiday,NA
1991,1991-01-01,Cpi index 10.4 tertiary education,NA
1991,1991-01-01,Catering services,41.7
1991,1991-01-01,Accommodation services,NA
1991,1991-01-01,Personal care,62.2
1991,1991-01-01,Personal effects n.e.c.,72.1
1991,1991-01-01,Social protection,NA
1991,1991-01-01,Insurance,26.6
1991,1991-01-01,Financial services n.e.c.,117.3
1991,1991-01-01,Other services nec,37.6
1991,1991-04-01,Cpi index 00: all items,60.3
1991,1991-04-01,Food,58.9
1991,1991-04-01,Non-alcoholic beverages,57.8
1991,1991-04-01,Alcoholic beverages,70.8
1991,1991-04-01,Tobacco,21.4
1991,1991-04-01,Clothing,227.2
1991,1991-04-01,Footwear including repairs,183.4
1991,1991-04-01,Actual rents for housing,45.2
1991,1991-04-01,Regular maintenance and repair of the dwelling,50.8
1991,1991-04-01,Water supply and misc. services for the dwelling,35
1991,1991-04-01,"Electricity, gas and other fuels",36.8
1991,1991-04-01,"Furniture, furnishings and carpets",73.7
1991,1991-04-01,Household textiles,131.2
1991,1991-04-01,"Household appliances, fitting and repairs",117
1991,1991-04-01,"Glassware, tableware and household utensils",98.4
1991,1991-04-01,Tools and equipment for house and garden,84.3
1991,1991-04-01,Goods and services for routine maintenance,53.7
1991,1991-04-01,Medical products appliances and equipment,68.4
1991,1991-04-01,Out-patient services:,NA
1991,1991-04-01,Hospital services,NA
1991,1991-04-01,Purchase of vehicles,99.8
1991,1991-04-01,Operation of personal transport equipment,38.7
1991,1991-04-01,Transport services,29.4
1991,1991-04-01,Postal services,31.6
1991,1991-04-01,Audio-visual equipment and related products,735.1
1991,1991-04-01,Other major durables for recreation and culture,NA
1991,1991-04-01,Other recreational items and equipment gardens & pets,108.4
1991,1991-04-01,Recreational and cultural services,43.8
1991,1991-04-01,"Books, newspapers and stationery",47.8
1991,1991-04-01,Package holiday,NA
1991,1991-04-01,Cpi index 10.4 tertiary education,NA
1991,1991-04-01,Catering services,44.1
1991,1991-04-01,Accommodation services,NA
1991,1991-04-01,Personal care,64.6
1991,1991-04-01,Personal effects n.e.c.,73.3
1991,1991-04-01,Social protection,NA
1991,1991-04-01,Insurance,27.1
1991,1991-04-01,Financial services n.e.c.,122.3
1991,1991-04-01,Other services nec,38.9
1991,1991-07-01,Cpi index 00: all items,60.8
1991,1991-07-01,Food,58.6
1991,1991-07-01,Non-alcoholic beverages,58.7
1991,1991-07-01,Alcoholic beverages,71.1
1991,1991-07-01,Tobacco,21.4
1991,1991-07-01,Clothing,222
1991,1991-07-01,Footwear including repairs,181.5
1991,1991-07-01,Actual rents for housing,45.3
1991,1991-07-01,Regular maintenance and repair of the dwelling,51.7
1991,1991-07-01,Water supply and misc. services for the dwelling,35
1991,1991-07-01,"Electricity, gas and other fuels",38
1991,1991-07-01,"Furniture, furnishings and carpets",74
1991,1991-07-01,Household textiles,130
1991,1991-07-01,"Household appliances, fitting and repairs",117
1991,1991-07-01,"Glassware, tableware and household utensils",99.4
1991,1991-07-01,Tools and equipment for house and garden,85.7
1991,1991-07-01,Goods and services for routine maintenance,54.9
1991,1991-07-01,Medical products appliances and equipment,69.9
1991,1991-07-01,Out-patient services:,NA
1991,1991-07-01,Hospital services,NA
1991,1991-07-01,Purchase of vehicles,103
1991,1991-07-01,Operation of personal transport equipment,39
1991,1991-07-01,Transport services,29.9
1991,1991-07-01,Postal services,32.6
1991,1991-07-01,Audio-visual equipment and related products,729.6
1991,1991-07-01,Other major durables for recreation and culture,NA
1991,1991-07-01,Other recreational items and equipment gardens & pets,109
1991,1991-07-01,Recreational and cultural services,44.4
1991,1991-07-01,"Books, newspapers and stationery",48.7
1991,1991-07-01,Package holiday,NA
1991,1991-07-01,Cpi index 10.4 tertiary education,NA
1991,1991-07-01,Catering services,45
1991,1991-07-01,Accommodation services,NA
1991,1991-07-01,Personal care,65.4
1991,1991-07-01,Personal effects n.e.c.,73.6
1991,1991-07-01,Social protection,NA
1991,1991-07-01,Insurance,28.8
1991,1991-07-01,Financial services n.e.c.,122.5
1991,1991-07-01,Other services nec,38.7
1991,1991-10-01,Cpi index 00: all items,61.5
1991,1991-10-01,Food,58.9
1991,1991-10-01,Non-alcoholic beverages,59.4
1991,1991-10-01,Alcoholic beverages,70.5
1991,1991-10-01,Tobacco,21.8
1991,1991-10-01,Clothing,231.4
